location,fday,source,temp_max_diff,temp_min_diff,temp_mean_diff,rain_diff
Karlovy Vary,1.0,weathercom,2.471428571428571,3.1285714285714286,,
Karlovy Vary,1.0,yrno,1.1333333333333333,2.473333333333334,1.5833333333333335,0.7066666666666667
Karlovy Vary,2.0,weathercom,2.592307692307692,3.353846153846154,,
Karlovy Vary,2.0,yrno,1.2500000000000002,2.907142857142857,1.6580357142857147,1.4642857142857142
Karlovy Vary,3.0,weathercom,2.641666666666666,3.2833333333333337,,
Karlovy Vary,3.0,yrno,1.5153846153846153,3.4538461538461545,1.7134615384615386,1.3000000000000003
Karlovy Vary,4.0,weathercom,2.6363636363636362,2.763636363636364,,
Karlovy Vary,4.0,yrno,2.0749999999999997,3.1249999999999996,1.683333333333333,1.8416666666666668
Karlovy Vary,5.0,weathercom,2.58,3.21,,
Karlovy Vary,5.0,yrno,2.209090909090909,2.7363636363636363,1.3681818181818182,1.9454545454545453
Karlovy Vary,6.0,weathercom,3.2222222222222223,3.333333333333334,,
Karlovy Vary,6.0,yrno,2.5800000000000005,3.25,1.8425,2.5700000000000003
Karlovy Vary,7.0,weathercom,2.25,3.2375000000000007,,
Karlovy Vary,7.0,yrno,2.144444444444445,2.977777777777778,1.3944444444444444,2.9777777777777774
Karlovy Vary,8.0,weathercom,2.2428571428571424,3.0,,
Karlovy Vary,8.0,yrno,1.9875,2.8875,1.2125,3.8375
Karlovy Vary,9.0,weathercom,2.1666666666666665,3.0666666666666664,,
Karlovy Vary,9.0,yrno,2.285714285714285,2.642857142857143,1.5999999999999999,4.614285714285714
Kocelovice,0.0,weathercom,,1.5533333333333335,,
Kocelovice,1.0,weathercom,1.5357142857142858,1.5214285714285718,,
Kocelovice,1.0,yrno,1.5266666666666666,1.993333333333333,0.9597222222222226,0.8428571428571432
Kocelovice,2.0,weathercom,1.8615384615384618,1.9461538461538461,,
Kocelovice,2.0,yrno,1.5785714285714285,2.2642857142857142,0.9089285714285716,0.9230769230769231
Kocelovice,3.0,weathercom,1.866666666666667,2.041666666666667,,
Kocelovice,3.0,yrno,1.8076923076923075,2.6384615384615384,0.8730769230769234,1.8833333333333329
Kocelovice,4.0,weathercom,1.781818181818182,1.8909090909090913,,
Kocelovice,4.0,yrno,1.7916666666666667,2.608333333333334,0.8145833333333332,2.4909090909090907
Kocelovice,5.0,weathercom,1.57,2.3100000000000005,,
Kocelovice,5.0,yrno,1.9363636363636367,2.5545454545454547,0.8977272727272724,2.0799999999999996
Kocelovice,6.0,weathercom,2.233333333333333,2.9444444444444446,,
Kocelovice,6.0,yrno,2.13,3.12,1.7299999999999998,1.4777777777777776
Kocelovice,7.0,weathercom,1.8499999999999999,2.8500000000000005,,
Kocelovice,7.0,yrno,2.1,3.2222222222222223,1.375,2.2249999999999996
Kocelovice,8.0,weathercom,2.1142857142857143,3.3571428571428577,,
Kocelovice,8.0,yrno,2.937500000000001,2.975,1.4656250000000002,3.042857142857143
Kocelovice,9.0,weathercom,2.566666666666667,3.0,,
Kocelovice,9.0,yrno,2.4714285714285715,2.6571428571428575,1.6285714285714283,6.683333333333333
Kopisty,0.0,weathercom,,3.48,,
Kopisty,1.0,weathercom,1.0642857142857143,3.785714285714286,,
Kopisty,1.0,yrno,1.24,2.1133333333333333,1.1544444444444444,0.5
Kopisty,2.0,weathercom,1.1076923076923075,3.830769230769231,,
Kopisty,2.0,yrno,1.4642857142857146,2.3000000000000003,1.0747023809523808,2.2142857142857144
Kopisty,3.0,weathercom,1.575,4.133333333333334,,
Kopisty,3.0,yrno,2.2615384615384615,2.730769230769231,1.146153846153846,0.4769230769230769
Kopisty,4.0,weathercom,1.736363636363636,3.6727272727272733,,
Kopisty,4.0,yrno,2.4499999999999997,2.5333333333333328,1.4625000000000001,2.2416666666666667
Kopisty,5.0,weathercom,1.81,3.8500000000000005,,
Kopisty,5.0,yrno,2.236363636363636,2.7636363636363637,1.1386363636363632,1.9272727272727272
Kopisty,6.0,weathercom,1.7333333333333332,4.4444444444444455,,
Kopisty,6.0,yrno,2.33,3.3899999999999997,1.5350000000000001,3.2399999999999998
Kopisty,7.0,weathercom,1.8499999999999996,4.425000000000001,,
Kopisty,7.0,yrno,3.177777777777777,3.111111111111111,1.458333333333333,3.9444444444444446
Kopisty,8.0,weathercom,1.942857142857143,4.085714285714286,,
Kopisty,8.0,yrno,3.0375000000000005,3.5875000000000004,1.8093750000000002,4.925000000000001
Kopisty,9.0,weathercom,2.3666666666666667,4.183333333333334,,
Kopisty,9.0,yrno,3.4857142857142853,2.757142857142857,1.9499999999999997,5.628571428571428
Kostelní Myslová,0.0,weathercom,,1.6466666666666667,,
Kostelní Myslová,1.0,weathercom,1.1428571428571428,1.507142857142857,,
Kostelní Myslová,1.0,yrno,2.0466666666666664,1.1733333333333333,0.7683333333333333,1.1285714285714286
Kostelní Myslová,2.0,weathercom,1.1846153846153844,1.6384615384615382,,
Kostelní Myslová,2.0,yrno,2.1785714285714284,1.2285714285714289,0.8238095238095237,0.976923076923077
Kostelní Myslová,3.0,weathercom,1.4833333333333332,1.8499999999999996,,
Kostelní Myslová,3.0,yrno,2.569230769230769,1.8153846153846156,0.8711538461538461,1.7916666666666663
Kostelní Myslová,4.0,weathercom,1.3636363636363635,1.7545454545454542,,
