"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Praha-Kbely","5,5 °C","-0,7 °C","64%","6,7 °C","10,4 °C","-1,5 °C","-8,5 °C","24/10/2021 19:00:00"
"Liberec","5,9 °C","1,4 °C","73%","3,0 °C","9,6 °C","-2,1 °C","-6,3 °C","24/10/2021 19:00:00"
"Lysá hora","1,0 °C","-2,4 °C","78%","-1,5 °C","0,8 °C","-2,7 °C","-3,3 °C","24/10/2021 19:00:00"
"Karlovy Vary","1,1 °C","-0,4 °C","90%","1,8 °C","6,9 °C","-3,4 °C","-7,3 °C","24/10/2021 19:00:00"
"Přibyslav","3,7 °C","-0,7 °C","73%","4,7 °C","7,7 °C","-4,7 °C","-6,3 °C","24/10/2021 19:00:00"
"Košetice","5,7 °C","-0,9 °C","63%","3,7 °C","9,7 °C","-2,8 °C","-7,9 °C","24/10/2021 19:00:00"
"Kopisty","2,6 °C","1,1 °C","90%","6,1 °C","11,4 °C","-1,2 °C","-6,1 °C","24/10/2021 19:00:00"
"Maruška","4,8 °C","-1,3 °C","65%","4,1 °C","6,8 °C","2,2 °C","-1,0 °C","24/10/2021 19:00:00"
"Dukovany","6,8 °C","-0,6 °C","59%","5,7 °C","10,9 °C","-2,5 °C","-4,5 °C","24/10/2021 19:00:00"
"Temelín","6,4 °C","0,1 °C","64%","6,0 °C","10,5 °C","-2,9 °C","-5,0 °C","24/10/2021 19:00:00"
"Jičín","6,6 °C","2,5 °C","75%","4,8 °C","8,8 °C","-0,9 °C","-2,3 °C","24/10/2021 19:00:00"
"Přimda","4,2 °C","0,1 °C","75%","4,4 °C","8,1 °C","-0,8 °C","-5,1 °C","24/10/2021 19:00:00"
"Šerák","1,3 °C","-9,8 °C","44%","-2,6 °C","-1,0 °C","-3,4 °C","-4,4 °C","24/10/2021 19:00:00"
"Praha-Libuš","7,2 °C","-1,2 °C","55%","6,0 °C","10,7 °C","-1,7 °C","-7,1 °C","24/10/2021 19:00:00"
"Pec pod Sněžkou","-0,8 °C","-1,6 °C","94%","1,8 °C","4,0 °C","-3,3 °C","-5,4 °C","24/10/2021 19:00:00"
"Kostelní Myslová","4,8 °C","-1,0 °C","66%","4,0 °C","10,5 °C","-2,2 °C","-6,8 °C","24/10/2021 19:00:00"
"Luká","5,6 °C","-1,0 °C","63%","4,2 °C","9,5 °C","0,5 °C","-5,0 °C","24/10/2021 19:00:00"
"Čáslav","6,7 °C","-1,2 °C","57%","6,1 °C","10,2 °C","-0,8 °C","-6,6 °C","24/10/2021 19:00:00"
"Ústí nad Labem","7,0 °C","0,6 °C","64%","5,6 °C","9,5 °C","1,1 °C","-4,3 °C","24/10/2021 19:00:00"
"Ostrava-Mošnov","4,2 °C","2,6 °C","89%","5,5 °C","10,9 °C","-1,1 °C","-4,1 °C","24/10/2021 19:00:00"
"Cheb","4,3 °C","1,2 °C","80%","3,9 °C","9,3 °C","-2,5 °C","-6,6 °C","24/10/2021 19:00:00"
"Polom","4,0 °C","-0,8 °C","71%","2,3 °C","4,8 °C","-0,2 °C","-3,6 °C","24/10/2021 19:00:00"
"Kuchařovice","6,5 °C","0,0 °C","63%","6,1 °C","11,9 °C","-1,8 °C","-3,8 °C","24/10/2021 19:00:00"
"Tušimice","3,1 °C","0,8 °C","85%","6,0 °C","10,5 °C","-2,5 °C","-6,0 °C","24/10/2021 19:00:00"
"Náměšť nad Oslavou","5,0 °C","-0,3 °C","68%","4,5 °C","10,1 °C","-2,6 °C","-6,0 °C","24/10/2021 19:00:00"
"Brno-Tuřany","4,5 °C","-0,9 °C","68%","6,0 °C","11,3 °C","-2,3 °C","-6,3 °C","24/10/2021 19:00:00"
"Milešovka","2,4 °C","0,6 °C","88%","2,5 °C","4,4 °C","0,0 °C","-4,2 °C","24/10/2021 19:00:00"
"Holešov","4,0 °C","-0,7 °C","72%","5,4 °C","11,1 °C","-3,5 °C","-5,9 °C","24/10/2021 19:00:00"
"Polom","5,0 °C","-1,5 °C","63%","4,2 °C","8,1 °C","0,2 °C","0,4 °C","25/10/2021 19:00:00"
"Karlovy Vary","3,6 °C","1,5 °C","86%","1,7 °C","9,1 °C","-3,4 °C","-7,9 °C","25/10/2021 19:00:00"
"Brno-Tuřany","6,4 °C","-0,6 °C","61%","5,2 °C","12,0 °C","-1,2 °C","0,5 °C","25/10/2021 19:00:00"
"Temelín","6,0 °C","2,3 °C","77%","4,5 °C","10,5 °C","-2,5 °C","-5,2 °C","25/10/2021 19:00:00"
"Luká","6,0 °C","-1,0 °C","61%","4,6 °C","9,1 °C","0,1 °C","-4,4 °C","25/10/2021 19:00:00"
"Lysá hora","2,2 °C","-5,2 °C","58%","0,9 °C","4,6 °C","-2,3 °C","-2,0 °C","25/10/2021 19:00:00"
"Praha-Ruzyně","6,1 °C","1,8 °C","74%","4,4 °C","11,6 °C","-3,3 °C","-4,3 °C","25/10/2021 19:00:00"
"Ostrava-Mošnov","6,8 °C","-1,1 °C","57%","3,4 °C","11,6 °C","-0,8 °C","-4,3 °C","25/10/2021 19:00:00"
"Cheb","5,8 °C","4,3 °C","90%","3,4 °C","10,8 °C","-2,4 °C","-7,8 °C","25/10/2021 19:00:00"
"Maruška","6,2 °C","-1,7 °C","57%","5,1 °C","9,3 °C","2,7 °C","2,5 °C","25/10/2021 19:00:00"
"Dukovany","7,8 °C","-0,4 °C","56%","4,9 °C","10,8 °C","-1,6 °C","-0,8 °C","25/10/2021 19:00:00"
"Milešovka","3,6 °C","1,5 °C","86%","2,8 °C","6,3 °C","-1,4 °C","-3,5 °C","25/10/2021 19:00:00"
"Pardubice","6,7 °C","-0,5 °C","60%","3,8 °C","12,6 °C","-3,0 °C","-6,1 °C","25/10/2021 19:00:00"
"Šerák","0,4 °C","-4,2 °C","72%","0,2 °C","3,6 °C","-3,1 °C","-0,9 °C","25/10/2021 19:00:00"
"Náměšť nad Oslavou","5,3 °C","-0,6 °C","66%","4,4 °C","9,3 °C","-0,4 °C","-0,6 °C","25/10/2021 19:00:00"
"České Budějovice","4,8 °C","2,5 °C","85%","3,6 °C","12,3 °C","-2,8 °C","-6,6 °C","25/10/2021 19:00:00"
"Jičín","8,6 °C","0,3 °C","56%","5,4 °C","11,1 °C","1,7 °C","-1,3 °C","25/10/2021 19:00:00"
"Čáslav","7,0 °C","-0,8 °C","57%","5,6 °C","12,4 °C","-2,4 °C","-8,5 °C","25/10/2021 19:00:00"
"Churáňov","3,9 °C","-3,4 °C","59%","3,8 °C","7,4 °C","-0,6 °C","-6,0 °C","25/10/2021 19:00:00"
"Holešov","6,2 °C","-0,8 °C","61%","3,5 °C","12,2 °C","-3,1 °C","-1,0 °C","25/10/2021 19:00:00"
"Ústí nad Labem","4,4 °C","1,2 °C","80%","5,6 °C","10,5 °C","-0,4 °C","-5,6 °C","25/10/2021 19:00:00"
"Liberec","7,6 °C","0,1 °C","59%","5,3 °C","9,9 °C","0,6 °C","0,7 °C","25/10/2021 19:00:00"
"Kopisty","2,5 °C","1,2 °C","91%","2,8 °C","11,7 °C","-3,2 °C","-7,6 °C","25/10/2021 19:00:00"
"Přimda","4,4 °C","2,6 °C","88%","3,2 °C","6,9 °C","-0,6 °C","-4,6 °C","25/10/2021 19:00:00"
"Tušimice","3,1 °C","0,8 °C","85%","2,9 °C","10,9 °C","-3,2 °C","-6,6 °C","25/10/2021 19:00:00"
"Červená u Libavé","5,2 °C","-1,9 °C","60%","4,3 °C","8,4 °C","1,9 °C","0,4 °C","25/10/2021 19:00:00"
"Pec pod Sněžkou","1,5 °C","-0,6 °C","86%","0,1 °C","6,6 °C","-3,2 °C","-5,7 °C","25/10/2021 19:00:00"
"Plzeň-Mikulka","5,1 °C","1,6 °C","78%","4,4 °C","13,9 °C","-2,9 °C","-8,4 °C","25/10/2021 19:00:00"
"Ústí nad Orlicí","5,4 °C","-0,1 °C","68%","4,4 °C","9,8 °C","-2,1 °C","-0,8 °C","25/10/2021 19:00:00"
"Kostelní Myslová","5,2 °C","-1,7 °C","61%","4,0 °C","9,8 °C","-1,8 °C","-1,3 °C","25/10/2021 19:00:00"
"Praha-Kbely","4,1 °C","0,8 °C","79%","5,0 °C","11,9 °C","-1,0 °C","-9,4 °C","25/10/2021 19:00:00"
"Praha-Libuš","6,4 °C","1,8 °C","73%","5,0 °C","12,5 °C","-3,0 °C","-8,7 °C","25/10/2021 19:00:00"
"Prostějov","4,3 °C","-1,7 °C","65%","2,5 °C","11,8 °C","-4,1 °C","-9,2 °C","25/10/2021 19:00:00"
"Přibyslav","6,5 °C","-0,5 °C","61%","3,4 °C","9,8 °C","-4,0 °C","0,7 °C","25/10/2021 19:00:00"
"Svratouch","5,4 °C","-1,1 °C","63%","3,8 °C","7,9 °C","0,4 °C","1,2 °C","25/10/2021 19:00:00"
"Praha-Karlov","7,8 °C","3,2 °C","73%"," "," "," "," ","25/10/2021 19:00:00"
"Košetice","6,8 °C","-1,7 °C","54%","4,5 °C","9,9 °C","-2,8 °C","-3,4 °C","25/10/2021 19:00:00"
"Kocelovice","3,6 °C","1,5 °C","87%","3,7 °C","10,3 °C","-2,6 °C","-5,5 °C","25/10/2021 19:00:00"
"Doksany","3,0 °C","-0,2 °C","80%","3,7 °C","11,9 °C","-4,9 °C","-10,7 °C","25/10/2021 19:00:00"
"Kuchařovice","6,2 °C","-0,5 °C","62%","5,5 °C","11,5 °C","-1,2 °C","0,8 °C","25/10/2021 19:00:00"
"Kocelovice","7,4 °C","5,4 °C","87%","6,1 °C","12,8 °C","-0,7 °C","-2,2 °C","27/10/2021 19:00:00"
"Praha-Libuš","8,2 °C","5,1 °C","81%","8,3 °C","14,3 °C","0,9 °C","0,2 °C","27/10/2021 19:00:00"
"Liberec","6,3 °C","4,6 °C","89%","7,0 °C","10,5 °C","3,0 °C","0,1 °C","27/10/2021 19:00:00"
"České Budějovice","8,7 °C","5,3 °C","79%","6,5 °C","15,9 °C","0,1 °C","0,1 °C","27/10/2021 19:00:00"
"Prostějov","6,5 °C","4,8 °C","89%","4,4 °C","10,7 °C","-2,5 °C","-5,9 °C","27/10/2021 19:00:00"
"Červená u Libavé","6,4 °C","4,9 °C","90%","4,2 °C","6,8 °C","2,3 °C","1,8 °C","27/10/2021 19:00:00"
"Karlovy Vary","6,1 °C","4,3 °C","88%","4,7 °C","8,3 °C","-1,0 °C","3,6 °C","27/10/2021 19:00:00"
"Luká","7,1 °C","5,3 °C","88%","6,8 °C","10,1 °C","2,7 °C","-1,0 °C","27/10/2021 19:00:00"
"Ústí nad Labem","8,5 °C","6,5 °C","87%","6,5 °C","11,6 °C","1,0 °C","-0,1 °C","27/10/2021 19:00:00"
"Košetice","5,9 °C","4,5 °C","91%","6,0 °C","13,2 °C","-0,7 °C","-1,2 °C","27/10/2021 19:00:00"
"Brno-Tuřany","10,3 °C","5,9 °C","74%","6,4 °C","10,2 °C","-0,5 °C","-3,6 °C","27/10/2021 19:00:00"
"Holešov","6,2 °C","4,4 °C","88%","4,5 °C","11,9 °C","-0,3 °C","-2,2 °C","27/10/2021 19:00:00"
"Tušimice","7,6 °C","5,1 °C","84%","7,0 °C","13,8 °C","-0,7 °C","-0,5 °C","27/10/2021 19:00:00"
"Kuchařovice","10,2 °C","5,0 °C","70%","5,4 °C","10,1 °C","0,3 °C","1,5 °C","27/10/2021 19:00:00"
"Lysá hora","3,8 °C","0,3 °C","78%","2,4 °C","6,4 °C","0,1 °C","-1,2 °C","27/10/2021 19:00:00"
"Doksany","6,0 °C","3,9 °C","86%","5,3 °C","12,8 °C","-2,1 °C","-4,0 °C","27/10/2021 19:00:00"
"Praha-Ruzyně","7,9 °C","5,5 °C","85%","7,5 °C","12,9 °C","0,5 °C","3,8 °C","27/10/2021 19:00:00"
"Pardubice","5,0 °C","3,8 °C","92%","6,4 °C","13,8 °C","-1,2 °C","-1,9 °C","27/10/2021 19:00:00"
"Šerák","3,2 °C","2,7 °C","97%","2,1 °C","6,8 °C","-0,8 °C","0,4 °C","27/10/2021 19:00:00"
"Dukovany","9,8 °C","4,6 °C","70%","5,7 °C","11,3 °C","2,2 °C","-0,1 °C","27/10/2021 19:00:00"
"Svratouch","7,8 °C","5,0 °C","83%","6,5 °C","11,9 °C","1,1 °C","1,3 °C","27/10/2021 19:00:00"
"Kostelní Myslová","8,7 °C","4,8 °C","77%","6,7 °C","15,0 °C","0,1 °C","-2,3 °C","27/10/2021 19:00:00"
"Ústí nad Orlicí","5,6 °C","4,7 °C","94%","6,2 °C","11,7 °C","-0,1 °C","3,5 °C","27/10/2021 19:00:00"
"Jičín","6,1 °C","4,9 °C","92%","6,3 °C","10,5 °C","1,4 °C","-0,5 °C","27/10/2021 19:00:00"
"Plzeň-Mikulka","7,6 °C","5,4 °C","86%","6,9 °C","11,9 °C","-0,6 °C","-1,1 °C","27/10/2021 19:00:00"
"Milešovka","6,1 °C","5,5 °C","96%","6,0 °C","9,4 °C","4,1 °C","3,5 °C","27/10/2021 19:00:00"
"Ostrava-Mošnov","8,0 °C","6,6 °C","91%","6,5 °C","11,8 °C","2,3 °C","-1,1 °C","27/10/2021 19:00:00"
"Churáňov","5,5 °C","4,5 °C","93%","3,7 °C","10,0 °C","1,4 °C","-0,5 °C","27/10/2021 19:00:00"
"Praha-Kbely","7,1 °C","5,7 °C","90%","7,3 °C","11,9 °C","1,1 °C","0,2 °C","27/10/2021 19:00:00"
"Přimda","5,6 °C","5,2 °C","97%","5,6 °C","7,6 °C","2,7 °C","5,2 °C","27/10/2021 19:00:00"
"Polom","6,6 °C","5,6 °C","93%","6,1 °C","9,4 °C","2,4 °C","3,0 °C","27/10/2021 19:00:00"
"Praha-Karlov","9,9 °C","6,4 °C","79%"," "," "," "," ","27/10/2021 19:00:00"
"Přibyslav","6,3 °C","4,7 °C","90%","7,1 °C","12,3 °C","0,1 °C","-1,1 °C","27/10/2021 19:00:00"
"Náměšť nad Oslavou","9,5 °C","5,2 °C","75%","6,8 °C","11,0 °C","1,9 °C","0,1 °C","27/10/2021 19:00:00"
"Cheb","8,2 °C","5,7 °C","84%","6,0 °C","9,0 °C","2,1 °C","1,2 °C","27/10/2021 19:00:00"
"Maruška","7,5 °C","4,8 °C","83%","5,5 °C","9,4 °C","3,5 °C","1,4 °C","27/10/2021 19:00:00"
"Kopisty","7,0 °C","5,3 °C","89%","7,0 °C","13,6 °C","-1,2 °C","-3,2 °C","27/10/2021 19:00:00"
"Temelín","9,7 °C","5,9 °C","77%","6,7 °C","14,1 °C","1,1 °C","1,9 °C","27/10/2021 19:00:00"
"Pec pod Sněžkou","3,1 °C","2,3 °C","95%","4,3 °C","10,1 °C","-1,2 °C","-0,2 °C","27/10/2021 19:00:00"
"Čáslav","6,0 °C","4,2 °C","88%","7,9 °C","13,5 °C","2,4 °C","-2,6 °C","27/10/2021 19:00:00"
"Košetice","7,6 °C","2,1 °C","68%","7,4 °C","14,0 °C","2,1 °C","-2,7 °C","28/10/2021 19:00:00"
"Praha-Ruzyně","5,1 °C","3,9 °C","92%","8,1 °C","13,2 °C","0,2 °C","0,0 °C","28/10/2021 19:00:00"
"Praha-Kbely","8,3 °C","1,8 °C","63%","7,9 °C","14,0 °C","-0,1 °C","0,0 °C","28/10/2021 19:00:00"
"Luká","7,7 °C","0,8 °C","62%","7,5 °C","11,4 °C","1,8 °C","-0,4 °C","28/10/2021 19:00:00"
"Kostelní Myslová","6,5 °C","1,2 °C","69%","7,6 °C","14,8 °C","1,9 °C","-0,9 °C","28/10/2021 19:00:00"
"Churáňov","6,8 °C","-4,3 °C","45%","6,2 °C","11,6 °C","3,1 °C","-4,2 °C","28/10/2021 19:00:00"
"Náměšť nad Oslavou","7,0 °C","2,3 °C","72%","8,4 °C","14,3 °C","2,5 °C","-1,2 °C","28/10/2021 19:00:00"
"Čáslav","8,6 °C","1,9 °C","63%","7,0 °C","14,0 °C","-0,1 °C","-4,7 °C","28/10/2021 19:00:00"
"Přibyslav","7,6 °C","2,2 °C","69%","6,9 °C","13,6 °C","1,4 °C","2,2 °C","28/10/2021 19:00:00"
"Přimda","3,2 °C","3,2 °C","100%","6,6 °C","9,3 °C","3,9 °C","0,2 °C","28/10/2021 19:00:00"
"Prostějov","5,3 °C","0,5 °C","71%","5,1 °C","13,4 °C","-3,1 °C","-4,6 °C","28/10/2021 19:00:00"
"Brno-Tuřany","6,7 °C","1,2 °C","68%","7,6 °C","14,2 °C","-0,5 °C","-2,5 °C","28/10/2021 19:00:00"
"Ústí nad Orlicí","8,0 °C","2,4 °C","68%","6,7 °C","12,3 °C","0,6 °C","-0,7 °C","28/10/2021 19:00:00"
"Cheb","4,8 °C","3,3 °C","90%","7,8 °C","9,3 °C","2,3 °C","-1,0 °C","28/10/2021 19:00:00"
"Ústí nad Labem","5,1 °C","4,6 °C","97%","7,8 °C","11,3 °C","4,1 °C","-0,3 °C","28/10/2021 19:00:00"
"Polom","7,1 °C","0,3 °C","62%","6,7 °C","7,9 °C","5,2 °C","2,9 °C","28/10/2021 19:00:00"
"Šerák","6,9 °C","-13,0 °C","23%","3,6 °C","8,2 °C","2,1 °C","1,9 °C","28/10/2021 19:00:00"
"Plzeň-Mikulka","4,7 °C","4,0 °C","95%","7,3 °C","14,6 °C","0,8 °C","-2,2 °C","28/10/2021 19:00:00"
"Doksany","3,8 °C","2,1 °C","88%","5,4 °C","13,9 °C","0,7 °C","-1,9 °C","28/10/2021 19:00:00"
"Pardubice","8,5 °C","2,7 °C","67%","5,6 °C","14,3 °C","-1,2 °C","-3,5 °C","28/10/2021 19:00:00"
"Liberec","9,4 °C","4,4 °C","71%","7,4 °C","9,3 °C","5,2 °C","3,3 °C","28/10/2021 19:00:00"
"Tušimice","4,4 °C","3,8 °C","96%","7,5 °C","14,4 °C","1,4 °C","-2,2 °C","28/10/2021 19:00:00"
"Dukovany","8,1 °C","2,1 °C","66%","9,0 °C","15,4 °C","2,1 °C","0,4 °C","28/10/2021 19:00:00"
"Temelín","8,6 °C","3,2 °C","69%","9,7 °C","15,4 °C","0,6 °C","-2,1 °C","28/10/2021 19:00:00"
"Lysá hora","5,9 °C","-0,6 °C","63%","4,6 °C","8,9 °C","2,2 °C","0,4 °C","28/10/2021 19:00:00"
"České Budějovice","7,4 °C","3,5 °C","76%","7,9 °C","16,4 °C","-0,4 °C","-3,3 °C","28/10/2021 19:00:00"
"Svratouch","6,4 °C","1,7 °C","72%","6,7 °C","11,8 °C","3,5 °C","3,3 °C","28/10/2021 19:00:00"
"Červená u Libavé","6,2 °C","-0,1 °C","64%","6,5 °C","9,6 °C","4,3 °C","3,3 °C","28/10/2021 19:00:00"
"Holešov","6,9 °C","1,0 °C","66%","5,9 °C","13,7 °C","-1,5 °C","-2,6 °C","28/10/2021 19:00:00"
"Praha-Libuš","8,7 °C","2,7 °C","66%","7,7 °C","14,4 °C","0,8 °C","-2,9 °C","28/10/2021 19:00:00"
"Kopisty","1,8 °C","1,7 °C","99%","6,8 °C","15,2 °C","1,3 °C","-3,2 °C","28/10/2021 19:00:00"
"Jičín","9,7 °C","4,7 °C","71%","4,8 °C","10,0 °C","1,1 °C","-0,6 °C","28/10/2021 19:00:00"
"Ostrava-Mošnov","6,9 °C","1,4 °C","68%","7,3 °C","13,6 °C","1,5 °C","-2,2 °C","28/10/2021 19:00:00"
"Milešovka","5,0 °C","4,3 °C","95%","6,7 °C","10,8 °C","5,0 °C","2,1 °C","28/10/2021 19:00:00"
"Maruška","7,6 °C","0,4 °C","60%","7,9 °C","11,1 °C","5,5 °C","4,4 °C","28/10/2021 19:00:00"
"Pec pod Sněžkou","2,8 °C","1,1 °C","89%","4,8 °C","10,7 °C","1,4 °C","-0,7 °C","28/10/2021 19:00:00"
"Kocelovice","6,2 °C","4,0 °C","86%","5,7 °C","13,9 °C","-0,7 °C","-2,9 °C","28/10/2021 19:00:00"
"Kuchařovice","7,7 °C","2,2 °C","68%","9,4 °C","15,5 °C","4,0 °C","1,5 °C","28/10/2021 19:00:00"
"Praha-Karlov","9,9 °C","3,5 °C","64%"," "," "," "," ","28/10/2021 19:00:00"
"Karlovy Vary","2,0 °C","1,3 °C","95%","5,2 °C","8,2 °C","-0,3 °C","-3,0 °C","28/10/2021 19:00:00"
"Kocelovice","7,1 °C","2,6 °C","74%","5,3 °C","10,4 °C","-0,6 °C","-3,2 °C","29/10/2021 19:00:00"
"Praha-Kbely","9,8 °C","2,1 °C","59%","6,8 °C","15,5 °C","1,0 °C","0,0 °C","29/10/2021 19:00:00"
"Ústí nad Orlicí","9,6 °C","2,1 °C","60%","7,1 °C","12,4 °C","0,6 °C","2,9 °C","29/10/2021 19:00:00"
"Temelín","9,1 °C","3,1 °C","66%","7,5 °C","12,6 °C","1,1 °C","-1,2 °C","29/10/2021 19:00:00"
"Košetice","8,7 °C","2,0 °C","63%","7,4 °C","13,4 °C","2,9 °C","-0,3 °C","29/10/2021 19:00:00"
"Červená u Libavé","8,3 °C","-1,0 °C","52%","6,9 °C","11,2 °C","4,4 °C","2,7 °C","29/10/2021 19:00:00"
"Dukovany","10,0 °C","3,3 °C","63%","7,4 °C","13,2 °C","3,1 °C","2,7 °C","29/10/2021 19:00:00"
"Pardubice","7,8 °C","1,7 °C","65%","6,0 °C","16,7 °C","-1,2 °C","-3,2 °C","29/10/2021 19:00:00"
"Doksany","3,1 °C","0,7 °C","84%","5,9 °C","11,7 °C","0,8 °C","1,3 °C","29/10/2021 19:00:00"
"Prostějov","7,0 °C","0,9 °C","65%","4,6 °C","13,5 °C","-3,0 °C","-7,8 °C","29/10/2021 19:00:00"
"Praha-Libuš","9,1 °C","2,2 °C","62%","7,0 °C","13,7 °C","-1,6 °C","-5,7 °C","29/10/2021 19:00:00"
"Holešov","7,0 °C","-0,5 °C","59%","6,1 °C","15,1 °C","-1,0 °C","-0,5 °C","29/10/2021 19:00:00"
"Cheb","3,0 °C","2,4 °C","96%","5,4 °C","12,6 °C","1,0 °C","1,6 °C","29/10/2021 19:00:00"
"Ostrava-Mošnov","10,8 °C","-0,4 °C","46%","7,8 °C","15,9 °C","1,5 °C","-2,8 °C","29/10/2021 19:00:00"
"Liberec","10,5 °C","0,8 °C","51%","9,5 °C","14,5 °C","4,7 °C","2,7 °C","29/10/2021 19:00:00"
"Kuchařovice","9,5 °C","3,5 °C","66%","7,6 °C","13,5 °C","3,7 °C","2,4 °C","29/10/2021 19:00:00"
"Ústí nad Labem","6,7 °C","2,4 °C","74%","5,5 °C","11,2 °C","-0,5 °C","-2,7 °C","29/10/2021 19:00:00"
"Praha-Ruzyně","5,5 °C","3,3 °C","86%","5,1 °C","13,8 °C","-2,5 °C","-2,1 °C","29/10/2021 19:00:00"
"Polom","9,1 °C","0,0 °C","53%","8,0 °C","12,7 °C","4,7 °C","2,4 °C","29/10/2021 19:00:00"
"Tušimice","3,3 °C","2,4 °C","94%","3,9 °C","6,2 °C","2,6 °C","3,0 °C","29/10/2021 19:00:00"
"Karlovy Vary","-0,6 °C","-1,3 °C","95%","3,0 °C","11,2 °C","-3,1 °C","-6,4 °C","29/10/2021 19:00:00"
"Praha-Karlov","10,4 °C","4,7 °C","68%"," "," "," "," ","29/10/2021 19:00:00"
"České Budějovice","9,3 °C","3,5 °C","67%","5,3 °C","13,2 °C","-1,2 °C","-4,1 °C","29/10/2021 19:00:00"
"Náměšť nad Oslavou","8,9 °C","3,3 °C","68%","7,0 °C","11,8 °C","3,3 °C","1,1 °C","29/10/2021 19:00:00"
"Svratouch","7,8 °C","1,7 °C","66%","6,8 °C","10,8 °C","3,2 °C","2,2 °C","29/10/2021 19:00:00"
"Luká","8,7 °C","1,8 °C","62%","7,5 °C","11,4 °C","3,1 °C","-1,3 °C","29/10/2021 19:00:00"
"Churáňov","10,6 °C","-6,2 °C","30%","7,5 °C","15,2 °C","3,7 °C","-3,3 °C","29/10/2021 19:00:00"
"Přimda","1,6 °C","1,6 °C","100%","4,2 °C","4,8 °C","0,0 °C","-2,8 °C","29/10/2021 19:00:00"
"Přibyslav","8,8 °C","2,8 °C","66%","7,5 °C","12,2 °C","3,7 °C","2,6 °C","29/10/2021 19:00:00"
"Jičín","10,3 °C","2,6 °C","59%","7,4 °C","14,7 °C","1,2 °C","-0,7 °C","29/10/2021 19:00:00"
"Plzeň-Mikulka","3,2 °C","2,5 °C","95%","4,5 °C","11,1 °C","0,7 °C","0,4 °C","29/10/2021 19:00:00"
"Milešovka","5,1 °C","2,6 °C","84%","5,2 °C","7,8 °C","0,9 °C","-0,9 °C","29/10/2021 19:00:00"
"Šerák","4,2 °C","-3,1 °C","59%","7,6 °C","9,2 °C","3,8 °C","2,7 °C","29/10/2021 19:00:00"
"Maruška","9,9 °C","-1,8 °C","44%","8,4 °C","12,1 °C","6,1 °C","5,2 °C","29/10/2021 19:00:00"
"Lysá hora","5,8 °C","-2,8 °C","54%","6,1 °C","9,6 °C","3,9 °C","3,4 °C","29/10/2021 19:00:00"
"Brno-Tuřany","8,1 °C","1,9 °C","65%","6,9 °C","13,7 °C","1,3 °C","-0,8 °C","29/10/2021 19:00:00"
"Pec pod Sněžkou","2,6 °C","0,2 °C","84%","4,3 °C","14,1 °C","-0,2 °C","-2,5 °C","29/10/2021 19:00:00"
"Kostelní Myslová","6,9 °C","2,2 °C","72%","6,7 °C","12,1 °C","2,7 °C","0,7 °C","29/10/2021 19:00:00"
"Čáslav","11,5 °C","2,3 °C","53%","7,0 °C","15,6 °C","-0,1 °C","-3,6 °C","29/10/2021 19:00:00"
"Kopisty","2,7 °C","1,8 °C","94%","4,5 °C","7,1 °C","1,5 °C","3,3 °C","29/10/2021 19:00:00"
"Holešov","12,7 °C","3,3 °C","53%","7,4 °C","16,2 °C","2,9 °C","0,2 °C","30/10/2021 19:00:00"
"Doksany","4,6 °C","2,1 °C","84%","3,2 °C","12,1 °C","-2,7 °C","-8,3 °C","30/10/2021 19:00:00"
"Churáňov","8,8 °C","-5,1 °C","37%","11,2 °C","19,3 °C","6,3 °C","-3,4 °C","30/10/2021 19:00:00"
"Kocelovice","7,6 °C","3,0 °C","72%","5,6 °C","12,7 °C","-0,7 °C","-3,9 °C","30/10/2021 19:00:00"
"Dukovany","10,2 °C","3,9 °C","65%","8,9 °C","13,7 °C","4,3 °C","3,1 °C","30/10/2021 19:00:00"
"Praha-Kbely","7,6 °C","1,0 °C","63%","7,2 °C","15,4 °C","-0,2 °C","0,0 °C","30/10/2021 19:00:00"
"Praha-Libuš","9,3 °C","1,7 °C","59%","7,0 °C","15,3 °C","-2,1 °C","-6,9 °C","30/10/2021 19:00:00"
"Luká","10,2 °C","3,0 °C","61%","8,3 °C","13,5 °C","4,0 °C","2,4 °C","30/10/2021 19:00:00"
"Jičín","9,5 °C","2,6 °C","62%","8,9 °C","15,2 °C","4,2 °C","1,5 °C","30/10/2021 19:00:00"
"Ústí nad Orlicí","11,4 °C","2,4 °C","54%","9,2 °C","14,1 °C","5,2 °C","2,2 °C","30/10/2021 19:00:00"
"Karlovy Vary","3,7 °C","2,3 °C","91%","-0,1 °C","5,0 °C","-3,1 °C","-5,4 °C","30/10/2021 19:00:00"
"Kostelní Myslová","6,5 °C","2,5 °C","75%","6,8 °C","12,5 °C","3,0 °C","1,3 °C","30/10/2021 19:00:00"
"Pec pod Sněžkou","2,9 °C","0,4 °C","83%","3,7 °C","12,5 °C","-1,5 °C","-3,8 °C","30/10/2021 19:00:00"
"Liberec","10,9 °C","1,2 °C","51%","9,3 °C","14,0 °C","5,0 °C","4,8 °C","30/10/2021 19:00:00"
"Kopisty","3,7 °C","2,5 °C","92%","3,9 °C","12,2 °C","-1,8 °C","-5,1 °C","30/10/2021 19:00:00"
