"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Plzeň-Mikulka","13,6 °C","-1,2 °C","36%","6,3 °C","14,7 °C","-1,3 °C","-7,1 °C","10/10/2021 15:00:00"
"Košetice","10,3 °C","-0,2 °C","48%","5,8 °C","12,0 °C","-2,2 °C","-5,6 °C","10/10/2021 15:00:00"
"Ostrava-Mošnov","9,5 °C","1,7 °C","58%","6,3 °C","12,1 °C","-1,5 °C","-4,8 °C","10/10/2021 15:00:00"
"České Budějovice","11,7 °C","1,0 °C","48%","5,4 °C","12,8 °C","-0,6 °C","-3,0 °C","10/10/2021 15:00:00"
"Liberec","12,6 °C","1,1 °C","45%","3,7 °C","13,3 °C","-3,5 °C","-7,4 °C","10/10/2021 15:00:00"
"Přimda","8,3 °C","-1,4 °C","51%","5,1 °C","9,2 °C","0,1 °C","-3,3 °C","10/10/2021 15:00:00"
"Pec pod Sněžkou","8,6 °C","-5,4 °C","37%","3,6 °C","9,3 °C","-2,9 °C","-5,2 °C","10/10/2021 15:00:00"
"Jičín","15,1 °C","-1,8 °C","31%","8,8 °C","14,4 °C","1,4 °C","-1,0 °C","10/10/2021 15:00:00"
"Přibyslav","11,8 °C","0,9 °C","47%","5,4 °C","13,1 °C","-3,1 °C","-5,0 °C","10/10/2021 15:00:00"
"Brno-Tuřany","10,5 °C","2,1 °C","56%","8,3 °C","13,1 °C","1,4 °C","-3,6 °C","10/10/2021 15:00:00"
"Temelín","11,2 °C","0,9 °C","49%","5,9 °C","12,1 °C","-0,5 °C","-5,1 °C","10/10/2021 15:00:00"
"Lysá hora","4,9 °C","-1,6 °C","63%","1,1 °C","5,6 °C","-1,2 °C","-4,1 °C","10/10/2021 15:00:00"
"Luká","9,6 °C","0,5 °C","53%","5,6 °C","12,0 °C","1,3 °C","-2,7 °C","10/10/2021 15:00:00"
"Kocelovice","5,3 °C","1,2 °C","75%","5,8 °C","11,4 °C","-1,1 °C","-5,0 °C","10/10/2021 19:00:00"
"České Budějovice","5,3 °C","2,8 °C","84%","5,4 °C","12,8 °C","-0,6 °C","-3,0 °C","10/10/2021 19:00:00"
"Ústí nad Orlicí","7,5 °C","2,8 °C","72%","6,0 °C","13,8 °C","-2,4 °C","-5,6 °C","10/10/2021 19:00:00"
"Prostějov","8,8 °C","3,8 °C","71%","7,2 °C","13,3 °C","-1,7 °C","-6,1 °C","10/10/2021 19:00:00"
"Plzeň-Mikulka","6,9 °C","-0,2 °C","60%","6,3 °C","14,7 °C","-1,3 °C","-7,1 °C","10/10/2021 19:00:00"
"Kostelní Myslová","5,1 °C","1,2 °C","76%","6,1 °C","12,1 °C","-0,4 °C","-4,1 °C","10/10/2021 19:00:00"
"Praha-Karlov","8,2 °C","1,6 °C","63%"," "," "," "," ","10/10/2021 19:00:00"
"Liberec","4,1 °C","1,4 °C","83%","3,7 °C","13,3 °C","-3,5 °C","-7,4 °C","10/10/2021 19:00:00"
